id,parent_id,name,display,fullname,show_hot,show_new,index,bet_limit,bet_detail,table_name,apiname,status,created,provider_status,mobile_status,img
1,0,GG,GG,YouLianGaming,0,0,51,0,1,bet_history_nt,ntCurlApi,1,"2020-07-07 15:16:52",1,0,GG
2,0,EVOLUTION,EVO,Evolution,0,0,2,0,0,bet_history_evo,evolutionApi,1,"2020-07-16 10:10:14",1,0,EVO
3,0,UG,UG-EXPIRED,UnitedGaming,0,0,13,0,0,bet_history_ug,ugApi,1,"2020-07-16 17:12:59",1,0,UG
4,0,AG,AG,AsiaGaming,0,0,2,0,0,bet_history_ag,agApiCurl,0,"2020-07-18 02:58:09",1,0,AG
5,0,BG,BG,BigGaming,0,0,0,0,0,bet_history_bg,bgApi,0,"2020-07-20 15:27:10",1,0,BG
6,0,Joker,Joker,Joker,0,0,13,0,1,bet_history_jk,jokerApi,1,"2020-07-24 14:27:28",1,1,Joker
7,0,CQ9-FISH,CQ9-FISH,CQ9Gaming,0,0,48,0,1,bet_history_cqfish,cqApi,1,"2020-07-28 10:35:09",1,0,CQ9-FISH
8,0,AWC,AWC,AWC,0,0,0,0,0,bet_history_awc,awcApi,0,"2020-07-30 15:35:51",1,0,AWC
9,0,playNGo,playNGo,PlayNGo,0,0,0,0,0,bet_history_playNGo,playApiCurl,0,"2020-08-05 14:58:59",1,0,playNGo
10,0,PP-SLOT,PP-SLOT,PragmaticPlay,1,0,11,0,1,bet_history_ppslot_summary,ppApi,1,"2020-08-05 17:55:23",1,0,PP-SLOT
11,0,EBET,EBET,EBET,0,0,0,0,0,bet_history_ebet,ebetApi,0,"2020-08-10 17:47:23",1,0,EBET
13,0,SBO-LIVE,SBO-LIVE,SBOBet,0,0,54,0,1,bet_history_sbolive,sboApi,1,"2020-08-14 11:00:27",1,0,SBO-LIVE
14,0,PGSOFT,PG,Pgsoft,1,0,12,0,1,bet_history_pgsoft,pgApi,1,"2020-08-17 16:39:53",1,0,PG
15,0,AWC-RT,RT,RedTiger,0,0,21,0,1,bet_history_rt,awcRtApi,1,"2020-08-18 13:24:42",1,0,RT
16,0,GD,GD,GD,0,0,0,0,0,bet_history_gd,gdApi,0,"2020-08-20 11:56:50",1,0,GD
17,0,DG,DG,DreamGaming,0,0,5,0,1,bet_history_dg,dgApi,1,"2020-08-24 16:17:48",1,0,DG
18,0,FG,FG,FG,0,0,0,0,1,bet_history_fg,fgApi,0,"2020-08-25 15:52:29",1,0,FG
19,0,HABANERO,HBN,Habanero,0,0,47,0,1,bet_history_habanero,habaneroApi,1,"2020-08-26 16:24:53",1,0,HBN
20,0,ALLBET,ALLBET,ALLBET,0,0,6,0,1,bet_history_allbet,allbetApi,1,"2020-08-27 12:40:43",1,0,ALLBET
21,0,JDB,JDB,JDB,0,0,24,0,1,bet_history_awcjdb,awcApi,1,"2020-09-09 09:59:41",1,0,JDB
22,0,QTech,QTech,qtech,0,0,64,0,1,bet_history_qt,qtApi,1,"2020-10-21 17:36:35",1,0,QTech
23,0,PGThai,PGThai,Pgsoft,1,0,7,0,0,bet_history_pgthai,pgthaiCurlApi,0,"2020-11-18 10:59:31",1,0,PGThai
24,0,KM,KM,KingMaker,0,0,44,0,1,bet_history_awckm,awcApi,1,"2020-11-25 13:57:28",1,0,KM
25,0,JILI,JILI,JILI,0,0,20,0,1,bet_history_awcjilislot,awcApi,1,"2020-11-25 13:57:28",1,0,JILI
26,0,SG-SLOT,SG-SLOT,SpadeGaming,0,0,40,0,1,bet_history_awcsgslot,awcApi,1,"2020-11-25 13:57:28",1,0,SG-SLOT
